,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10
OTU_239,0,2,0,0,8,0,1,0,0,2,24,0,0,0,7,0,0,0,0,0
OTU_240,0,0,0,0,0,0,0,0,0,0,3,0,0,33,0,0,0,8,0,0
OTU_241,0,0,0,0,0,0,0,0,0,0,4,0,5,20,0,0,0,0,15,0
OTU_242,0,0,0,0,0,0,0,0,0,0,12,0,11,9,0,10,1,0,0,0
OTU_243,0,0,0,15,0,0,0,0,0,0,0,0,9,0,0,17,2,0,0,0
OTU_244,3,0,0,0,0,0,0,0,0,2,0,0,0,0,16,0,15,6,0,0
OTU_245,0,0,0,0,0,0,5,0,0,0,0,0,0,0,27,0,0,0,10,0
OTU_246,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,16,0,0,0,21
OTU_247,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,27,0,0,0
OTU_248,7,13,0,0,5,1,0,12,0,3,0,0,0,0,0,0,0,0,0,0
OTU_249,0,0,1,10,1,13,8,0,0,8,0,0,0,0,0,0,0,0,0,0
OTU_250,0,12,0,8,0,0,3,0,0,0,0,0,0,11,0,7,0,0,0,0
OTU_251,0,0,1,1,0,0,0,0,0,0,0,0,4,34,0,0,0,0,0,0
OTU_252,0,0,0,3,0,0,0,0,0,0,0,0,0,0,18,0,0,0,18,0
OTU_253,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,3,15,9
OTU_254,0,4,0,0,0,0,20,0,0,0,7,0,0,0,0,0,8,0,0,0
OTU_255,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,22
OTU_256,0,0,0,0,0,0,0,0,0,0,7,0,0,13,6,9,3,0,0,0
OTU_257,0,14,0,0,0,0,3,15,6,0,0,0,0,0,0,0,0,0,0,0
OTU_258,0,0,0,0,0,0,0,0,0,0,5,0,10,10,0,13,0,0,0,0
OTU_259,0,0,0,0,0,0,0,0,0,0,12,0,0,4,0,0,0,7,0,15
OTU_260,0,20,0,0,13,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
OTU_261,0,0,0,0,0,0,0,0,0,0,6,17,0,0,0,14,0,0,0,0
OTU_262,0,11,0,3,0,2,0,0,11,0,8,0,0,0,0,0,2,0,0,0
OTU_263,4,0,12,16,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
OTU_264,1,10,12,2,2,2,0,5,0,3,0,0,0,0,0,0,0,0,0,0
OTU_265,0,8,5,1,0,12,4,4,2,0,0,0,0,0,0,0,0,0,0,0
OTU_266,0,0,6,13,0,0,0,0,0,0,0,0,0,16,0,0,1,0,0,0
OTU_267,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,23,0
OTU_268,0,0,0,0,0,13,0,8,0,0,0,0,0,0,0,13,0,2,0,0
OTU_269,6,0,0,0,0,0,21,0,0,0,0,0,0,0,0,8,0,0,0,0
OTU_270,12,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_271,0,0,0,0,0,0,0,3,0,0,0,0,20,0,0,0,0,11,0,0
OTU_272,0,0,0,0,0,0,0,0,16,0,0,0,8,0,0,0,10,0,0,0
OTU_273,0,0,0,0,0,0,0,0,0,0,0,0,17,1,2,1,10,0,2,0
OTU_274,0,0,0,15,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
OTU_275,0,3,0,1,3,0,0,0,0,4,0,0,0,0,12,0,7,3,0,0
OTU_276,0,0,0,0,0,0,0,0,0,0,8,0,0,11,0,8,0,0,0,6
OTU_277,0,0,0,0,0,0,0,0,0,0,1,0,5,7,3,7,9,0,0,0
OTU_278,3,0,9,10,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_279,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,7,4,7,0
OTU_280,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,7,0,11,0
OTU_281,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,13,9,0,0
OTU_282,0,4,0,0,0,0,0,0,3,0,0,0,20,0,0,0,0,4,0,0
OTU_283,0,11,0,4,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0
OTU_284,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,19,1,0,0,0
OTU_285,4,0,0,0,0,24,0,0,2,0,0,0,0,0,0,0,0,0,0,0
OTU_286,0,0,0,0,0,0,0,0,0,0,0,0,12,13,0,0,0,0,4,0
OTU_287,11,2,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0
OTU_288,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,10,0
OTU_289,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,16,0,0,0
OTU_290,0,0,0,0,0,0,0,0,0,0,0,0,11,0,10,0,3,0,0,5
OTU_291,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,13,0,7,4,0
OTU_292,0,0,0,0,13,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
OTU_293,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,23,0
OTU_294,0,0,0,0,20,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
OTU_295,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,12,0,0,0,0
OTU_296,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,8,0,0,6
OTU_297,0,0,0,0,0,0,0,0,2,0,0,0,0,18,0,0,0,0,7,0
OTU_298,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,10,0,0,0,2
OTU_299,0,0,0,0,0,0,0,0,1,0,8,0,8,0,0,9,0,0,0,0
